Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AlrPi7RDMpZwVkjNP0,10/09/2024,12:39:19,Card payment,Nkora Limited,🍽,Eating out,-9.10,GBP,-9.10,GBP,,26 Market Place,,SumUp  *Nkora Limited  St Albans     GBR,,-9.10,
tx_0000Alro1LZnQHZ6Kl8XUA,10/09/2024,17:11:43,Card payment,J And R Kiosk,🍎,Groceries,-1.00,GBP,-1.00,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.00,
tx_0000AltD2MC7IoZmaPCNd3,11/09/2024,09:26:44,Card payment,Jessops,📷,Shopping,-1.58,GBP,-1.58,GBP,,145 Oxford Street,,Jessops                London        GBR,,-1.58,
tx_0000AltNT4UEFMjjoX3S8g,11/09/2024,11:23:37,Card payment,M&S,🛍 ,Eating out,-8.20,GBP,-8.20,GBP,,Heron House 323-324 High Holborn,,MARKS&SPENCER PLC SF   CHANCERY LANE GBR,,-8.20,
tx_0000AltOceCcvNes590jem,11/09/2024,11:36:33,Card payment,Transport for London,🚆,Transport,-3.70,GBP,-3.70,GBP,"Travel charge for Tuesday, 10 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.70,
tx_0000AltPpVwr1cwZ9qIpBy,11/09/2024,11:50:05,Card payment,Transport for London,🚆,Transport,-3.70,GBP,-3.70,GBP,"Travel charge for Tuesday, 10 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.70,
tx_0000AltRN6vieJPpiqmVSz,11/09/2024,12:07:21,Card payment,Klarna,💳,Bills,1979.00,GBP,1979.00,GBP,,,,Klarna                \Aviation House 125 Kingsway\London       \WC2B 6NH     GBR,,,1979.00
tx_0000AltRVGRPAfysCGqnOE,11/09/2024,12:08:50,Pot transfer,Emergency Savings Pot,,Savings,-1900.00,GBP,-1900.00,GBP,,,,,,-1900.00,
tx_0000AltRX4zehi7883v7fF,11/09/2024,12:09:09,Pot transfer,Monthly Money Pot,,Savings,-150.00,GBP,-150.00,GBP,,,,,,-150.00,
tx_0000AltgndOc3w5HuolJsw,11/09/2024,15:00:13,Card payment,Nkora Limited,🍽,Eating out,-11.80,GBP,-11.80,GBP,,26 Market Place,,SumUp  *Nkora Limited  St Albans     GBR,,-11.80,
